entry_utc,price_r,score_r,difference_r,earlier,price_winner_cut,price_loser_improved
2026-09-08T17:40:39.338651+00:00,-1.2250728010826306,-0.26702138024359334,0.9580514208390373,True,False,True
2026-09-08T21:42:01.668278+00:00,-0.2066103061986067,-1.2918978342045957,-1.085287528005989,True,False,False
2026-09-09T02:19:08.116315+00:00,-1.426796394206451,-0.8397407880076782,0.5870556061987728,True,False,True
2026-09-09T09:56:08.758884+00:00,-1.0332078037904309,-1.3375556298773101,-0.30434782608687927,True,False,False
2026-09-09T14:20:53.008575+00:00,3.8429625267667227,3.8429625267667227,0.0,False,False,False
2026-09-09T18:32:47.142029+00:00,-1.7995271663290298,-0.7554878535523307,1.044039312776699,True,False,True
2026-09-10T00:51:38.054215+00:00,1.4401360562896088,1.4401360562896088,0.0,False,False,False
2026-09-10T05:06:29.969100+00:00,0.5408358420400239,-0.42852842217110265,-0.9693642642111265,True,True,False
2026-09-10T09:40:13.449575+00:00,-1.7210712206229555,-0.7328627144832826,0.9882085061396729,True,False,True
2026-09-10T15:47:53.078712+00:00,-0.5588747999604984,-0.5588747999604984,0.0,False,False,False
2026-09-10T19:53:59.204079+00:00,0.316836839196874,0.9099479093756114,0.5931110701787374,True,False,False
2026-09-10T23:56:34.852035+00:00,1.129159318563942,1.129159318563942,0.0,False,False,False
2026-09-11T07:57:11.106960+00:00,1.451224996349787,1.451224996349787,0.0,False,False,False
2026-09-11T12:09:15.412881+00:00,-2.766321905868851,-2.766321905868851,0.0,False,False,False
2026-09-12T04:21:13.182019+00:00,-0.6838696347033416,-1.1912897260275621,-0.5074200913242205,True,False,False
2026-09-12T11:16:59.291802+00:00,-0.3348624390244046,0.37733268292676936,0.712195121951174,True,False,True
2026-09-12T15:39:31.400810+00:00,-1.9804888919917343,-1.004994931229463,0.9754939607622712,True,False,True
2026-09-12T19:53:59.033029+00:00,-0.06313386538157739,0.44281403403111397,0.5059478994126914,True,False,True
2026-09-13T10:44:53.932740+00:00,0.23842995911696996,-0.7048243336058995,-0.9432542927228694,True,True,False
2026-09-13T15:30:43.974848+00:00,2.4247130650767112,-0.014680874317001602,-2.439393939393713,True,True,False
2026-09-13T19:32:14.921750+00:00,-2.8071102469376186,-2.8071102469376186,0.0,False,False,False
2026-09-16T08:28:20.678288+00:00,2.57463341451535,2.57463341451535,0.0,False,False,False
2026-09-16T14:00:12.988675+00:00,-1.6385937035236235,-1.6385937035236235,0.0,False,False,False
2026-09-17T21:53:58.170347+00:00,-2.095020609202925,-1.1423310434219502,0.9526895657809746,True,False,True
2026-09-18T04:32:41.787576+00:00,3.712676718483102,3.712676718483102,0.0,False,False,False
2026-09-18T12:12:41.606386+00:00,-0.5005211394645737,0.5304773191757226,1.0309984586402963,True,False,True
2026-09-19T11:12:42.950188+00:00,-1.7793440167739019,-0.9049992511606524,0.8743447656132495,True,False,True
2026-09-19T15:30:24.059253+00:00,1.719405823389357,-0.39562997613369155,-2.1150357995230484,True,True,False
2026-09-19T19:58:50.673825+00:00,-0.8158881798845941,-0.8158881798845941,0.0,False,False,False
2026-09-20T00:01:29.431894+00:00,-2.064513024735782,-1.1132659755722278,0.9512470491635543,True,False,True
2026-09-20T04:44:57.598944+00:00,-1.5270830065359746,-0.9127039215686079,0.6143790849673667,True,False,True
2026-09-20T08:48:43.038332+00:00,2.2711506261180547,-0.10496744186046225,-2.376118067978517,True,True,False
2026-09-20T14:24:59.366795+00:00,4.265166494167043,-1.3662693447943326,-5.631435838961376,True,True,False
2026-09-20T18:52:29.744630+00:00,1.062844896362946,1.3287815408682715,0.2659366445053255,True,False,False
2026-09-21T01:28:15.505287+00:00,-0.23364130607913003,-0.23364130607913003,0.0,False,False,False
2026-09-21T06:38:49.192281+00:00,-2.238322680647558,-2.238322680647558,0.0,False,False,False
