event_id,symbol,side,threshold,horizon,day,net,quality,beta_samples,beta,btc_directional_gross,residual_after_signal_cost
SOLUSDT:long:50:1788626764.103120,SOLUSDT,long,50,240,2026-09-05,0.015711516091507893,True,96,1.166826442480232,-0.2588382179820714,0.31773079315745106
SOLUSDT:long:50:1788659545.174025,SOLUSDT,long,50,240,2026-09-06,2.35020376778162,True,96,1.9043674616603927,-0.02513175415893576,2.3980638626563455
SOLUSDT:long:50:1788686934.949801,SOLUSDT,long,50,240,2026-09-06,-0.6912145331959961,True,96,2.2946511171024135,-0.24452813574501464,-0.13010777334572765
SOLUSDT:long:50:1788703289.243687,SOLUSDT,long,50,240,2026-09-06,-0.8399625993454806,True,96,2.4566453350979716,-0.11140141476037035,-0.5662888334511025
SOLUSDT:long:50:1788719513.840312,SOLUSDT,long,50,240,2026-09-06,-0.9088064607005196,True,96,2.5832098019023877,-0.065585260839085,-0.7393859720406705
SOLUSDT:long:60:1788445938.808902,SOLUSDT,long,60,15,2026-09-03,-0.0908624708624649,True,43,1.298768005888387,0.20944967755278654,-0.36288901091166315
SOLUSDT:long:60:1788593624.828119,SOLUSDT,long,60,15,2026-09-05,-0.3250180611149144,True,96,1.2618765752350025,0.039034406758586826,-0.37427466463176995
SOLUSDT:long:60:1788612497.930339,SOLUSDT,long,60,15,2026-09-05,0.0743068104536927,True,96,1.001758434077541,-0.057844882860969005,0.1322534097278958
SOLUSDT:long:60:1788631037.852192,SOLUSDT,long,60,15,2026-09-05,-0.2545377666730707,True,96,1.2167462027042524,-0.060866326548458805,-0.18047889497267644
SOLUSDT:long:60:1788672885.066360,SOLUSDT,long,60,15,2026-09-06,0.33278747287991195,True,96,2.268890694211413,0.1167944980152491,0.0677935231980199
SOLUSDT:long:60:1788689453.983403,SOLUSDT,long,60,15,2026-09-06,-0.07309128436062895,True,96,2.512534128846925,0.04443843586721119,-0.18474437110957237
SOLUSDT:long:60:1788738085.248500,SOLUSDT,long,60,15,2026-09-06,-0.3734259433076835,True,96,2.397443373146676,-0.05266067106874939,-0.2471749664284534
SOLUSDT:long:60:1788445938.808902,SOLUSDT,long,60,30,2026-09-03,2.2692773892773888,True,43,1.298768005888387,1.3918188028402945,0.4616276581545373
SOLUSDT:long:60:1788593624.828119,SOLUSDT,long,60,30,2026-09-05,-0.354306355559899,True,96,1.2618765752350025,-0.04167017055901612,-0.3017237434454293
SOLUSDT:long:60:1788612497.930339,SOLUSDT,long,60,30,2026-09-05,0.025730107840269523,True,96,1.001758434077541,-0.07277664221120306,0.09863472297918577
SOLUSDT:long:60:1788631037.852192,SOLUSDT,long,60,30,2026-09-05,-0.2929771285796766,True,96,1.2167462027042524,-0.09436155347862796,-0.1781630667032818
SOLUSDT:long:60:1788672885.066360,SOLUSDT,long,60,30,2026-09-06,0.11582680879161711,True,96,2.268890694211413,0.04731867122160782,0.008465915994461726
SOLUSDT:long:60:1788689453.983403,SOLUSDT,long,60,30,2026-09-06,-0.1762904587672386,True,96,2.512534128846925,0.08737472742339492,-0.3958224434172157
SOLUSDT:long:60:1788738085.248500,SOLUSDT,long,60,30,2026-09-06,-0.12,True,96,2.397443373146676,-0.027015048751599657,-0.05523295039524301
SOLUSDT:long:60:1788445938.808902,SOLUSDT,long,60,60,2026-09-03,1.239751359751371,True,43,1.298768005888387,1.1858787548335803,-0.3004300258892416
SOLUSDT:long:60:1788593624.828119,SOLUSDT,long,60,60,2026-09-05,-0.39335741481987474,True,96,1.2618765752350025,-0.13593010456451893,-0.2218304000006638
SOLUSDT:long:60:1788612497.930339,SOLUSDT,long,60,60,2026-09-05,-0.12,True,96,1.001758434077541,-0.05884869861561004,-0.06104781982732533
SOLUSDT:long:60:1788631037.852192,SOLUSDT,long,60,60,2026-09-05,-0.32180665000961717,True,96,1.2167462027042524,-0.06399088129941388,-0.24394598818085678
SOLUSDT:long:60:1788672885.066360,SOLUSDT,long,60,60,2026-09-06,-0.7142835581548955,True,96,2.268890694211413,-0.12530685156832977,-0.4299760087105813
SOLUSDT:long:60:1788689453.983403,SOLUSDT,long,60,60,2026-09-06,-0.24196266066235583,True,96,2.512534128846925,0.0421852194006922,-0.3479544641394904
SOLUSDT:long:60:1788738085.248500,SOLUSDT,long,60,60,2026-09-06,-0.6737826168575233,False,96,2.397443373146676,-0.3200723057157462,0.0935726114084694
SOLUSDT:long:60:1788445938.808902,SOLUSDT,long,60,240,2026-09-03,1.686526806526798,True,43,1.298768005888387,1.4484742512268056,-0.19470520831971494
SOLUSDT:long:60:1788593624.828119,SOLUSDT,long,60,240,2026-09-05,-0.33478082592991665,True,96,1.2618765752350025,-0.09212622045278174,-0.2185289063756156
SOLUSDT:long:60:1788612497.930339,SOLUSDT,long,60,240,2026-09-05,0.10345283202174216,True,96,1.001758434077541,0.29512183186337637,-0.1921879521278091
SOLUSDT:long:60:1788631037.852192,SOLUSDT,long,60,240,2026-09-05,-0.514003459542569,True,96,1.2167462027042524,-0.17422517291285633,-0.30201564198535924
SOLUSDT:long:60:1788672885.066360,SOLUSDT,long,60,240,2026-09-06,0.5969134987265347,True,96,2.268890694211413,0.06146419992014707,0.4574579475005631
SOLUSDT:long:60:1788689453.983403,SOLUSDT,long,60,240,2026-09-06,-0.1387634862557573,True,96,2.512534128846925,-0.18013213862789756,0.31382465974902085
SOLUSDT:long:70:1788450106.148623,SOLUSDT,long,70,15,2026-09-03,0.32954567192729833,True,47,1.4651342122110438,0.38889156635439903,-0.240232666778873
SOLUSDT:long:70:1788593624.828119,SOLUSDT,long,70,15,2026-09-05,-0.3250180611149144,True,96,1.2618765752350025,0.039034406758586826,-0.37427466463176995
SOLUSDT:long:70:1788612497.930339,SOLUSDT,long,70,15,2026-09-05,0.0743068104536927,True,96,1.001758434077541,-0.057844882860969005,0.1322534097278958
SOLUSDT:long:70:1788450106.148623,SOLUSDT,long,70,30,2026-09-03,-0.29216642754661615,True,47,1.4651342122110438,0.025209367504386293,-0.32910153434549383
SOLUSDT:long:70:1788593624.828119,SOLUSDT,long,70,30,2026-09-05,-0.354306355559899,True,96,1.2618765752350025,-0.04167017055901612,-0.3017237434454293
