event_id,symbol,side,threshold,score,entry_ts,entry_utc,day,entry_price,source_payload_sha256,horizon,net,exit_ts,holding_minutes,max_gap,mfe,mae,quality,return_1m_pct,return_5m_pct,return_15m_pct,return_1h_pct,return_4h_pct,delta_norm_1m,delta_norm_5m,delta_norm_15m,oi_change_5m_pct,efficiency_1h,efficiency_4h
BTCUSDT:long:50:1788436707.984125,BTCUSDT,long,50,56,1788436707.9841254,2026-09-03T11:58:27.984125+00:00,2026-09-03,77940.6,ec94033dda218fa0e8cdb8943af6f78aa585fe8e34ee2e220d675b4744b25ff1,15,-0.05276931406738228,1788437615.7680218,15.129731607437133,60.582178831100464,0.099947909048681,-0.10918571322263704,True,,0.08218129707768806,0.04454091410279748,0.3605431840598694,0.38355134024017357,0.41547544734690667,0.37830127587406076,0.15966292032576002,0.13504345678549967,0.2002002002002077,0.051275870381210925
BTCUSDT:long:50:1788455891.082260,BTCUSDT,long,50,52,1788455891.0822597,2026-09-03T17:18:11.082260+00:00,2026-09-03,81037.7,32ea43c5d7e048f59f7e686af82844020811d21c102e58be39df7ad2ffa7c35e,15,-0.08952035904276279,1788456815.45624,15.406233004728954,61.77710032463074,0.03047964095723721,-0.1293225251950636,True,,-0.023563723216324384,0.19138779643164128,0.39806036939209477,3.2986657726778557,0.14592174633879318,0.17839325994474592,0.11994703233979737,0.023994159008888793,0.1441906386034264,0.20413024958192924
BTCUSDT:long:50:1788513426.338592,BTCUSDT,long,50,52,1788513426.3385916,2026-09-04T09:17:06.338592+00:00,2026-09-04,81218.4,1b0273cf8be91ecffefcbeced6cadee7ec435f2371f113d9439fe27ecb44f482,15,-0.2846178698422984,1788514364.1494284,15.63018061319987,62.69491100311279,0.029057454960956797,-0.3715906740344388,True,,0.1571074471889533,0.05839523967918758,0.5102337571049498,0.27000100000369454,0.3792159747381711,0.3504721751926736,0.20018461566383808,0.010188899533813967,0.2470489544010878,0.036739630755791196
BTCUSDT:long:50:1788548706.778625,BTCUSDT,long,50,50,1788548706.7786245,2026-09-04T19:05:06.778625+00:00,2026-09-04,79675.2,71bf8d9ca1478de50dce7fb41de3cb7a0d9f2edd3bd8788b2a86f5dc2d9fd4a8,15,-0.021223969315422475,1788549648.4595215,15.694681616624196,62.884082555770874,0.09877603068457752,-0.06300580356245478,True,,0.057767753537651956,0.15587445569644753,0.1913911698502302,0.8799673842304845,0.08963403807223774,0.39411039869737297,0.23804592739314875,-0.014626327486411128,0.15436105476673362,0.13110733823806828
BTCUSDT:long:50:1788599163.482048,BTCUSDT,long,50,50,1788599163.482048,2026-09-05T09:06:03.482048+00:00,2026-09-05,79656.4,a245d34e032f28b042e06a6f5fdfc3fd7a1f6db0c3180d726f56bfd2fd981f0e,15,-0.1084503944441283,1788600095.9107668,15.540478646755219,62.57560348510742,0.04896028442158418,-0.0025107838164895036,True,,0.016573919681772686,0.11449714888271956,0.05514209452033292,0.2832632938611246,0.27447830434220405,0.6599956562471491,0.5931967805636325,-0.04486170939985712,0.05809183538440768,0.08529188779378505
BTCUSDT:long:50:1788624079.365264,BTCUSDT,long,50,56,1788624079.365264,2026-09-05T16:01:19.365264+00:00,2026-09-05,79779.9,22f9a4197ad8e2c6937d21d996c23e3c4026499cd38fddb9057db5b1efaa4f8e,15,-0.1458210401366643,1788624994.4053283,15.25066773891449,61.062355756759644,0.03146155861313282,-0.06806225628258611,True,,0.03310199552370996,0.07350607679501575,0.0974878987029193,0.2423762674808705,0.8408803619607457,0.5093969212062611,0.4346657959432181,-0.003020547350918168,0.1103536429484375,0.0664141848855198
BTCUSDT:long:50:1788653741.911188,BTCUSDT,long,50,54,1788653741.911188,2026-09-06T00:15:41.911188+00:00,2026-09-06,79867.9,837cb660be6c79039ddf2460e55e6ead4852048554fb6126481d8b19ee239705,15,-0.14241200782792107,1788654658.4062164,15.274917141596477,61.67212104797363,0.03555871633034169,-0.049581872066239985,True,,-0.0037560613439957535,0.09248804109576181,0.13967513619579375,0.20500724551311134,0.5802374056515427,0.17986240950168741,0.36040090887870774,0.03288657424938002,0.1442257897462336,0.049125127773434515
BTCUSDT:long:50:1788686995.410030,BTCUSDT,long,50,58,1788686995.4100301,2026-09-06T09:29:55.410030+00:00,2026-09-06,79952.2,89edadb7ee4d438f8d0df823da01be56dafeeacea2ab88c4f4ee0722b97d6abf,15,-0.280220731887295,1788687917.333166,15.365385595957438,61.58953380584717,0.0031268683038154776,-0.16022073188729502,True,,0.03453254692546981,0.08361978534250358,0.2458746102178999,0.17817316125798843,0.877055936572684,0.5587050876477371,0.33194556546192217,0.019591701656773708,0.3226921178212806,0.04253918870407839
BTCUSDT:long:50:1788718896.157697,BTCUSDT,long,50,58,1788718896.1576972,2026-09-06T18:21:36.157697+00:00,2026-09-06,79859.6,07783afc788b941b3e33d8270e860f2f78e16f6943ea6fb348657956208cb9bc,15,-0.05526138372845757,1788719821.0062952,15.414143300056457,61.717936515808105,0.07287790071575095,-0.024543073093286072,True,,0.04234220014081025,0.11696668894007889,0.2438953973687541,0.3154185796742981,0.65006478136908,0.40183465350342856,0.2129885159383109,0.038335571352332565,0.25408656989671563,0.05379984145009063
BTCUSDT:long:50:1788736168.197905,BTCUSDT,long,50,52,1788736168.1979046,2026-09-06T23:09:28.197905+00:00,2026-09-06,80144.6,d2a71fc1e543584769a0efb3ee59f784771f05ee5395616f68d280d52f409112,15,-0.17677238391607053,1788737094.8044176,15.443441883722942,61.84192872047424,0.1303893213017382,-0.056772383916070535,True,,-0.09361790183707308,0.1959046305753942,0.6082091285348534,0.3888058000205641,0.3334155704108946,0.04159966896192421,0.27009717766224295,-0.039994631632778166,0.31706040180616935,0.07905863175589799
BTCUSDT:long:50:1788436707.984125,BTCUSDT,long,50,56,1788436707.9841254,2026-09-03T11:58:27.984125+00:00,2026-09-03,77940.6,ec94033dda218fa0e8cdb8943af6f78aa585fe8e34ee2e220d675b4744b25ff1,30,-0.12205284537199146,1788438523.9971445,30.266883651415508,60.60829496383667,0.17025786303928037,-0.10918571322263704,True,,0.08218129707768806,0.04454091410279748,0.3605431840598694,0.38355134024017357,0.41547544734690667,0.37830127587406076,0.15966292032576002,0.13504345678549967,0.2002002002002077,0.051275870381210925
BTCUSDT:long:50:1788455891.082260,BTCUSDT,long,50,52,1788455891.0822597,2026-09-03T17:18:11.082260+00:00,2026-09-03,81037.7,32ea43c5d7e048f59f7e686af82844020811d21c102e58be39df7ad2ffa7c35e,30,-0.017084937010793833,1788457740.4124777,30.822170301278433,61.976646184921265,0.1230291580338605,-0.1293225251950636,True,,-0.023563723216324384,0.19138779643164128,0.39806036939209477,3.2986657726778557,0.14592174633879318,0.17839325994474592,0.11994703233979737,0.023994159008888793,0.1441906386034264,0.20413024958192924
BTCUSDT:long:50:1788513426.338592,BTCUSDT,long,50,52,1788513426.3385916,2026-09-04T09:17:06.338592+00:00,2026-09-04,81218.4,1b0273cf8be91ecffefcbeced6cadee7ec435f2371f113d9439fe27ecb44f482,30,-0.24829605114111908,1788515239.3936808,30.21758482058843,62.69491100311279,0.029057454960956797,-0.3715906740344388,True,,0.1571074471889533,0.05839523967918758,0.5102337571049498,0.27000100000369454,0.3792159747381711,0.3504721751926736,0.20018461566383808,0.010188899533813967,0.2470489544010878,0.036739630755791196
BTCUSDT:long:50:1788548706.778625,BTCUSDT,long,50,50,1788548706.7786245,2026-09-04T19:05:06.778625+00:00,2026-09-04,79675.2,71bf8d9ca1478de50dce7fb41de3cb7a0d9f2edd3bd8788b2a86f5dc2d9fd4a8,30,-0.11447757897061972,1788550526.7803016,30.33336128393809,62.884082555770874,0.12626262626262985,-0.06300580356245478,True,,0.057767753537651956,0.15587445569644753,0.1913911698502302,0.8799673842304845,0.08963403807223774,0.39411039869737297,0.23804592739314875,-0.014626327486411128,0.15436105476673362,0.13110733823806828
BTCUSDT:long:50:1788599163.482048,BTCUSDT,long,50,50,1788599163.482048,2026-09-05T09:06:03.482048+00:00,2026-09-05,79656.4,a245d34e032f28b042e06a6f5fdfc3fd7a1f6db0c3180d726f56bfd2fd981f0e,30,-0.10367990519281267,1788600965.7089412,30.03711488644282,62.57560348510742,0.04896028442158418,-0.004770489251315624,True,,0.016573919681772686,0.11449714888271956,0.05514209452033292,0.2832632938611246,0.27447830434220405,0.6599956562471491,0.5931967805636325,-0.04486170939985712,0.05809183538440768,0.08529188779378505
BTCUSDT:long:50:1788624079.365264,BTCUSDT,long,50,56,1788624079.365264,2026-09-05T16:01:19.365264+00:00,2026-09-05,79779.9,22f9a4197ad8e2c6937d21d996c23e3c4026499cd38fddb9057db5b1efaa4f8e,30,0.05698693530576737,1788625909.4709213,30.5017609556516,61.062355756759644,0.17698693530576737,-0.06806225628258611,True,,0.03310199552370996,0.07350607679501575,0.0974878987029193,0.2423762674808705,0.8408803619607457,0.5093969212062611,0.4346657959432181,-0.003020547350918168,0.1103536429484375,0.0664141848855198
BTCUSDT:long:50:1788653741.911188,BTCUSDT,long,50,54,1788653741.911188,2026-09-06T00:15:41.911188+00:00,2026-09-06,79867.9,837cb660be6c79039ddf2460e55e6ead4852048554fb6126481d8b19ee239705,30,-0.1688306315803988,1788655574.3793516,30.541136062145235,61.67212104797363,0.03768723104027316,-0.050959146290308066,True,,-0.0037560613439957535,0.09248804109576181,0.13967513619579375,0.20500724551311134,0.5802374056515427,0.17986240950168741,0.36040090887870774,0.03288657424938002,0.1442257897462336,0.049125127773434515
BTCUSDT:long:50:1788686995.410030,BTCUSDT,long,50,58,1788686995.4100301,2026-09-06T09:29:55.410030+00:00,2026-09-06,79952.2,89edadb7ee4d438f8d0df823da01be56dafeeacea2ab88c4f4ee0722b97d6abf,30,-0.2175582910789141,1788688838.3362317,30.715436693032583,61.58953380584717,0.0031268683038154776,-0.17347865349546243,True,,0.03453254692546981,0.08361978534250358,0.2458746102178999,0.17817316125798843,0.877055936572684,0.5587050876477371,0.33194556546192217,0.019591701656773708,0.3226921178212806,0.04253918870407839
BTCUSDT:long:50:1788718896.157697,BTCUSDT,long,50,58,1788718896.1576972,2026-09-06T18:21:36.157697+00:00,2026-09-06,79859.6,07783afc788b941b3e33d8270e860f2f78e16f6943ea6fb348657956208cb9bc,30,-0.06377632745468087,1788720746.526559,30.839481031894685,61.89634394645691,0.08527465702306003,-0.024543073093286072,True,,0.04234220014081025,0.11696668894007889,0.2438953973687541,0.3154185796742981,0.65006478136908,0.40183465350342856,0.2129885159383109,0.038335571352332565,0.25408656989671563,0.05379984145009063
BTCUSDT:long:50:1788736168.197905,BTCUSDT,long,50,52,1788736168.1979046,2026-09-06T23:09:28.197905+00:00,2026-09-06,80144.6,d2a71fc1e543584769a0efb3ee59f784771f05ee5395616f68d280d52f409112,30,0.15076060021511417,1788738022.1414533,30.899059144655862,61.911033153533936,0.29159793672934864,-0.10081777187733731,True,,-0.09361790183707308,0.1959046305753942,0.6082091285348534,0.3888058000205641,0.3334155704108946,0.04159966896192421,0.27009717766224295,-0.039994631632778166,0.31706040180616935,0.07905863175589799
BTCUSDT:long:50:1788436707.984125,BTCUSDT,long,50,56,1788436707.9841254,2026-09-03T11:58:27.984125+00:00,2026-09-03,77940.6,ec94033dda218fa0e8cdb8943af6f78aa585fe8e34ee2e220d675b4744b25ff1,60,0.8831998727235703,1788440342.9720016,60.5831312696139,60.74546265602112,1.035403884496655,-0.10918571322263704,True,,0.08218129707768806,0.04454091410279748,0.3605431840598694,0.38355134024017357,0.41547544734690667,0.37830127587406076,0.15966292032576002,0.13504345678549967,0.2002002002002077,0.051275870381210925
BTCUSDT:long:50:1788455891.082260,BTCUSDT,long,50,52,1788455891.0822597,2026-09-03T17:18:11.082260+00:00,2026-09-03,81037.7,32ea43c5d7e048f59f7e686af82844020811d21c102e58be39df7ad2ffa7c35e,60,0.0027823593216381726,1788459530.7351344,60.66088124513626,61.976646184921265,0.25383247550214705,-0.1293225251950636,True,,-0.023563723216324384,0.19138779643164128,0.39806036939209477,3.2986657726778557,0.14592174633879318,0.17839325994474592,0.11994703233979737,0.023994159008888793,0.1441906386034264,0.20413024958192924
BTCUSDT:long:50:1788513426.338592,BTCUSDT,long,50,52,1788513426.3385916,2026-09-04T09:17:06.338592+00:00,2026-09-04,81218.4,1b0273cf8be91ecffefcbeced6cadee7ec435f2371f113d9439fe27ecb44f482,60,-0.6012948789929328,1788517056.410128,60.50119227568309,63.278363943099976,0.029057454960956797,-0.4812948789929328,True,,0.1571074471889533,0.05839523967918758,0.5102337571049498,0.27000100000369454,0.3792159747381711,0.3504721751926736,0.20018461566383808,0.010188899533813967,0.2470489544010878,0.036739630755791196
BTCUSDT:long:50:1788548706.778625,BTCUSDT,long,50,50,1788548706.7786245,2026-09-04T19:05:06.778625+00:00,2026-09-04,79675.2,71bf8d9ca1478de50dce7fb41de3cb7a0d9f2edd3bd8788b2a86f5dc2d9fd4a8,60,0.021072755386884023,1788552346.7844408,60.666763603687286,62.88577175140381,0.153247183565286,-0.09086892784705425,True,,0.057767753537651956,0.15587445569644753,0.1913911698502302,0.8799673842304845,0.08963403807223774,0.39411039869737297,0.23804592739314875,-0.014626327486411128,0.15436105476673362,0.13110733823806828
BTCUSDT:long:50:1788599163.482048,BTCUSDT,long,50,50,1788599163.482048,2026-09-05T09:06:03.482048+00:00,2026-09-05,79656.4,a245d34e032f28b042e06a6f5fdfc3fd7a1f6db0c3180d726f56bfd2fd981f0e,60,-0.19996846455525785,1788602766.7334626,60.054190242290495,62.57560348510742,0.04896028442158418,-0.09440547150009193,True,,0.016573919681772686,0.11449714888271956,0.05514209452033292,0.2832632938611246,0.27447830434220405,0.6599956562471491,0.5931967805636325,-0.04486170939985712,0.05809183538440768,0.08529188779378505
BTCUSDT:long:50:1788624079.365264,BTCUSDT,long,50,56,1788624079.365264,2026-09-05T16:01:19.365264+00:00,2026-09-05,79779.9,22f9a4197ad8e2c6937d21d996c23e3c4026499cd38fddb9057db5b1efaa4f8e,60,0.13106574462991916,1788627739.836609,61.00785574913025,61.19936013221741,0.4318130255866359,-0.06806225628258611,True,,0.03310199552370996,0.07350607679501575,0.0974878987029193,0.2423762674808705,0.8408803619607457,0.5093969212062611,0.4346657959432181,-0.003020547350918168,0.1103536429484375,0.0664141848855198
BTCUSDT:long:50:1788653741.911188,BTCUSDT,long,50,54,1788653741.911188,2026-09-06T00:15:41.911188+00:00,2026-09-06,79867.9,837cb660be6c79039ddf2460e55e6ead4852048554fb6126481d8b19ee239705,60,-0.0637821703087037,1788657344.8926783,60.04969150622686,61.67212104797363,0.11506500108304785,-0.06022444561580853,True,,-0.0037560613439957535,0.09248804109576181,0.13967513619579375,0.20500724551311134,0.5802374056515427,0.17986240950168741,0.36040090887870774,0.03288657424938002,0.1442257897462336,0.049125127773434515
BTCUSDT:long:50:1788686995.410030,BTCUSDT,long,50,58,1788686995.4100301,2026-09-06T09:29:55.410030+00:00,2026-09-06,79952.2,89edadb7ee4d438f8d0df823da01be56dafeeacea2ab88c4f4ee0722b97d6abf,60,-0.12938060491143533,1788690620.4839745,60.41789907217026,61.58953380584717,0.0031268683038154776,-0.17347865349546243,True,,0.03453254692546981,0.08361978534250358,0.2458746102178999,0.17817316125798843,0.877055936572684,0.5587050876477371,0.33194556546192217,0.019591701656773708,0.3226921178212806,0.04253918870407839
BTCUSDT:long:50:1788718896.157697,BTCUSDT,long,50,58,1788718896.1576972,2026-09-06T18:21:36.157697+00:00,2026-09-06,79859.6,07783afc788b941b3e33d8270e860f2f78e16f6943ea6fb348657956208cb9bc,60,-0.1973858121002391,1788722535.7288005,60.65951838890712,61.89634394645691,0.08527465702306003,-0.08489899774103415,True,,0.04234220014081025,0.11696668894007889,0.2438953973687541,0.3154185796742981,0.65006478136908,0.40183465350342856,0.2129885159383109,0.038335571352332565,0.25408656989671563,0.05379984145009063
BTCUSDT:long:50:1788736168.197905,BTCUSDT,long,50,52,1788736168.1979046,2026-09-06T23:09:28.197905+00:00,2026-09-06,80144.6,d2a71fc1e543584769a0efb3ee59f784771f05ee5395616f68d280d52f409112,60,0.11532465069386888,1788739816.592067,60.80656937360764,62.18770480155945,0.4559259139105931,-0.10081777187733731,True,,-0.09361790183707308,0.1959046305753942,0.6082091285348534,0.3888058000205641,0.3334155704108946,0.04159966896192421,0.27009717766224295,-0.039994631632778166,0.31706040180616935,0.07905863175589799
BTCUSDT:long:50:1788436707.984125,BTCUSDT,long,50,56,1788436707.9841254,2026-09-03T11:58:27.984125+00:00,2026-09-03,77940.6,ec94033dda218fa0e8cdb8943af6f78aa585fe8e34ee2e220d675b4744b25ff1,240,4.213941488774773,1788451149.743798,240.69599454402925,61.62838363647461,4.333941488774773,-0.10918571322263704,True,,0.08218129707768806,0.04454091410279748,0.3605431840598694,0.38355134024017357,0.41547544734690667,0.37830127587406076,0.15966292032576002,0.13504345678549967,0.2002002002002077,0.051275870381210925
BTCUSDT:long:50:1788455891.082260,BTCUSDT,long,50,52,1788455891.0822597,2026-09-03T17:18:11.082260+00:00,2026-09-03,81037.7,32ea43c5d7e048f59f7e686af82844020811d21c102e58be39df7ad2ffa7c35e,240,0.4652831459925545,1788470350.2053623,240.98538504441578,62.17283844947815,0.8558979339245987,-0.21668926931538435,True,,-0.023563723216324384,0.19138779643164128,0.39806036939209477,3.2986657726778557,0.14592174633879318,0.17839325994474592,0.11994703233979737,0.023994159008888793,0.1441906386034264,0.20413024958192924
BTCUSDT:long:50:1788513426.338592,BTCUSDT,long,50,52,1788513426.3385916,2026-09-04T09:17:06.338592+00:00,2026-09-04,81218.4,1b0273cf8be91ecffefcbeced6cadee7ec435f2371f113d9439fe27ecb44f482,240,-2.424896427410541,1788527855.9874413,240.49414749542873,63.89668869972229,0.1875190843454222,-2.5197492193887117,True,,0.1571074471889533,0.05839523967918758,0.5102337571049498,0.27000100000369454,0.3792159747381711,0.3504721751926736,0.20018461566383808,0.010188899533813967,0.2470489544010878,0.036739630755791196
BTCUSDT:long:50:1788548706.778625,BTCUSDT,long,50,50,1788548706.7786245,2026-09-04T19:05:06.778625+00:00,2026-09-04,79675.2,71bf8d9ca1478de50dce7fb41de3cb7a0d9f2edd3bd8788b2a86f5dc2d9fd4a8,240,-0.2043424302668816,1788563125.7648072,240.31643637816111,125.40226721763611,0.153247183565286,-0.15738899933730455,False,,0.057767753537651956,0.15587445569644753,0.1913911698502302,0.8799673842304845,0.08963403807223774,0.39411039869737297,0.23804592739314875,-0.014626327486411128,0.15436105476673362,0.13110733823806828
BTCUSDT:long:50:1788599163.482048,BTCUSDT,long,50,50,1788599163.482048,2026-09-05T09:06:03.482048+00:00,2026-09-05,79656.4,a245d34e032f28b042e06a6f5fdfc3fd7a1f6db0c3180d726f56bfd2fd981f0e,240,-0.12590034196875644,1788613605.5337665,240.70086197455723,62.57560348510742,0.09277346201939096,-0.13759095314374026,True,,0.016573919681772686,0.11449714888271956,0.05514209452033292,0.2832632938611246,0.27447830434220405,0.6599956562471491,0.5931967805636325,-0.04486170939985712,0.05809183538440768,0.08529188779378505
BTCUSDT:long:50:1788624079.365264,BTCUSDT,long,50,56,1788624079.365264,2026-09-05T16:01:19.365264+00:00,2026-09-05,79779.9,22f9a4197ad8e2c6937d21d996c23e3c4026499cd38fddb9057db5b1efaa4f8e,240,-0.14569569528164672,1788638482.9163954,240.05918552478155,61.19936013221741,0.4318130255866359,-0.13223882205919413,True,,0.03310199552370996,0.07350607679501575,0.0974878987029193,0.2423762674808705,0.8408803619607457,0.5093969212062611,0.4346657959432181,-0.003020547350918168,0.1103536429484375,0.0664141848855198
BTCUSDT:long:50:1788653741.911188,BTCUSDT,long,50,54,1788653741.911188,2026-09-06T00:15:41.911188+00:00,2026-09-06,79867.9,837cb660be6c79039ddf2460e55e6ead4852048554fb6126481d8b19ee239705,240,-0.0363618925751118,1788668168.5079284,240.44327900807062,61.67212104797363,0.24916142780766481,-0.06022444561580853,True,,-0.0037560613439957535,0.09248804109576181,0.13967513619579375,0.20500724551311134,0.5802374056515427,0.17986240950168741,0.36040090887870774,0.03288657424938002,0.1442257897462336,0.049125127773434515
