symbol,side,threshold,variant,horizon,recorded,missing_exits,gap_qualified_n,gap_qualified_mean,n,mean,median,win_rate,pf
BTCUSDT,long,80,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,80,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,long,90,full,15,0,0,0,,0,,,,
BTCUSDT,long,90,full,30,0,0,0,,0,,,,
BTCUSDT,long,90,full,60,0,0,0,,0,,,,
BTCUSDT,long,90,full,240,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,15,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,30,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,60,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta,240,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,15,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,30,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,60,0,0,0,,0,,,,
BTCUSDT,long,90,no_oi,240,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,long,90,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,short,50,full,15,6,0,6,-0.17985900231616123,6,-0.17985900231616123,-0.18133221558354273,0.16666666666666666,0.04466770562022636
BTCUSDT,short,50,full,30,6,0,6,-0.15390029435432948,6,-0.15390029435432948,-0.17102446211467381,0.3333333333333333,0.24882839146167623
BTCUSDT,short,50,full,60,6,0,6,-0.09327658071833618,6,-0.09327658071833618,0.033470863492349845,0.5,0.4502277749235072
BTCUSDT,short,50,full,240,6,0,6,-0.6314093899734144,6,-0.6314093899734144,-0.14311375942294358,0.16666666666666666,0.004593557160705017
BTCUSDT,short,50,no_delta,15,0,0,0,,0,,,,
BTCUSDT,short,50,no_delta,30,0,0,0,,0,,,,
BTCUSDT,short,50,no_delta,60,0,0,0,,0,,,,
BTCUSDT,short,50,no_delta,240,0,0,0,,0,,,,
BTCUSDT,short,50,no_oi,15,6,0,6,-0.15483939455994158,6,-0.15483939455994158,-0.13511921927774828,0.16666666666666666,0.05151349970092743
BTCUSDT,short,50,no_oi,30,6,0,6,-0.1264708493155504,6,-0.1264708493155504,-0.1449479976194733,0.3333333333333333,0.2872910021996338
BTCUSDT,short,50,no_oi,60,6,0,6,-0.09760497118687121,6,-0.09760497118687121,-0.05086492685047117,0.5,0.3904642720197251
BTCUSDT,short,50,no_oi,240,6,0,6,-0.6855211767321311,6,-0.6855211767321311,-0.17905661891512092,0.0,0.0
BTCUSDT,short,50,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,short,50,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,short,50,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,short,50,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,short,60,full,15,2,0,2,-0.07410424556105955,2,-0.07410424556105955,-0.07410424556105955,0.5,0.25398021053749864
BTCUSDT,short,60,full,30,2,0,2,0.15294013613287094,2,0.15294013613287094,0.15294013613287094,1.0,
BTCUSDT,short,60,full,60,2,0,2,0.17730880031015317,2,0.17730880031015317,0.17730880031015317,1.0,
BTCUSDT,short,60,full,240,2,0,2,-0.2239834513299087,2,-0.2239834513299087,-0.2239834513299087,0.0,0.0
BTCUSDT,short,60,no_delta,15,0,0,0,,0,,,,
BTCUSDT,short,60,no_delta,30,0,0,0,,0,,,,
BTCUSDT,short,60,no_delta,60,0,0,0,,0,,,,
BTCUSDT,short,60,no_delta,240,0,0,0,,0,,,,
BTCUSDT,short,60,no_oi,15,2,0,2,-0.2207515630900735,2,-0.2207515630900735,-0.2207515630900735,0.0,0.0
BTCUSDT,short,60,no_oi,30,2,0,2,-0.017011587194134425,2,-0.017011587194134425,-0.017011587194134425,0.5,0.8363625087999808
BTCUSDT,short,60,no_oi,60,2,0,2,0.09270725765570875,2,0.09270725765570875,0.09270725765570875,1.0,
BTCUSDT,short,60,no_oi,240,2,0,2,-0.36985284976291044,2,-0.36985284976291044,-0.36985284976291044,0.0,0.0
BTCUSDT,short,60,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,short,60,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,short,60,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,short,60,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,short,70,full,15,1,0,1,-0.4740785590409934,1,-0.4740785590409934,-0.4740785590409934,0.0,0.0
BTCUSDT,short,70,full,30,1,0,1,-0.7580513382217234,1,-0.7580513382217234,-0.7580513382217234,0.0,0.0
BTCUSDT,short,70,full,60,1,0,1,-0.7008764616991757,1,-0.7008764616991757,-0.7008764616991757,0.0,0.0
BTCUSDT,short,70,full,240,1,0,1,-1.001076256833091,1,-1.001076256833091,-1.001076256833091,0.0,0.0
BTCUSDT,short,70,no_delta,15,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta,30,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta,60,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta,240,0,0,0,,0,,,,
BTCUSDT,short,70,no_oi,15,0,0,0,,0,,,,
BTCUSDT,short,70,no_oi,30,0,0,0,,0,,,,
BTCUSDT,short,70,no_oi,60,0,0,0,,0,,,,
BTCUSDT,short,70,no_oi,240,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,short,70,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,short,80,full,15,0,0,0,,0,,,,
BTCUSDT,short,80,full,30,0,0,0,,0,,,,
BTCUSDT,short,80,full,60,0,0,0,,0,,,,
BTCUSDT,short,80,full,240,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta,15,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta,30,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta,60,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta,240,0,0,0,,0,,,,
BTCUSDT,short,80,no_oi,15,0,0,0,,0,,,,
BTCUSDT,short,80,no_oi,30,0,0,0,,0,,,,
BTCUSDT,short,80,no_oi,60,0,0,0,,0,,,,
BTCUSDT,short,80,no_oi,240,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta_oi,30,0,0,0,,0,,,,
