symbol,side,threshold,horizon,reported_n,recovered_n,reported_mean,recovered_mean,agrees
SOLUSDT,long,90,240,0,0,,,True
SOLUSDT,short,50,15,9,9,-0.26378,-0.26377938505131127,True
SOLUSDT,short,60,15,4,4,-0.29161,-0.29161257577337774,True
SOLUSDT,short,70,15,3,3,-0.36166,-0.3616638934559678,True
SOLUSDT,short,80,15,2,2,-0.2984,-0.2983979199928898,True
SOLUSDT,short,90,15,0,0,,,True
SOLUSDT,short,50,30,9,9,-0.23683,-0.2368307844398253,True
SOLUSDT,short,60,30,4,4,-0.16721,-0.16721340220906478,True
SOLUSDT,short,70,30,3,3,-0.33587,-0.33586585629581595,True
SOLUSDT,short,80,30,2,2,-0.10546,-0.10545666084933114,True
SOLUSDT,short,90,30,0,0,,,True
SOLUSDT,short,50,60,9,9,-0.22934,-0.22933818388675847,True
SOLUSDT,short,60,60,4,4,-0.16533,-0.1653336233620205,True
SOLUSDT,short,70,60,3,3,-0.47003,-0.470034647794691,True
SOLUSDT,short,80,60,2,2,-0.2072,-0.20719745880517715,True
SOLUSDT,short,90,60,0,0,,,True
SOLUSDT,short,50,240,9,9,-0.75767,-0.7576749751191292,True
SOLUSDT,short,60,240,4,4,-0.56514,-0.5651402660486992,True
SOLUSDT,short,70,240,3,3,-0.89762,-0.897622055163659,True
SOLUSDT,short,80,240,2,2,-0.7839,-0.7838955168185247,True
SOLUSDT,short,90,240,0,0,,,True
